epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.18701452016830444,2.182293176651001,1e-04,0.24728336930274963,2.193979501724243
1,0.21498484909534454,1.8724699020385742,1e-04,0.25062692165374756,1.8072251081466675
2,0.23013688623905182,1.8446803092956543,1e-04,0.24770130217075348,1.8517764806747437
3,0.23539656400680542,1.831092357635498,1e-04,0.24742268025875092,2.605743408203125
0,0.2432338297367096,1.8187754154205322,1e-04,0.250348299741745,1.7837492227554321
1,0.24459229409694672,1.809137225151062,1e-04,0.24979102611541748,2.1841423511505127
2,0.24800585210323334,1.8064379692077637,1e-04,0.26706603169441223,1.7649000883102417
3,0.2546588182449341,1.7960726022720337,1e-04,0.27472832798957825,1.8202800750732422
4,0.25476330518722534,1.7870668172836304,1e-04,0.2822513282299042,1.7326300144195557
5,0.26681527495384216,1.7776843309402466,1e-04,0.28016161918640137,1.7361613512039185
6,0.2708558440208435,1.7641117572784424,1e-04,0.3087210953235626,1.6880488395690918
7,0.27935490012168884,1.754256248474121,1e-04,0.3103928565979004,1.6784390211105347
8,0.2851022183895111,1.7463493347167969,1e-04,0.30426302552223206,1.7644883394241333
9,0.29273051023483276,1.735489010810852,1e-04,0.3200055658817291,1.6528947353363037
10,0.29966211318969727,1.723837971687317,1e-04,0.319448322057724,1.6705658435821533
11,0.30547910928726196,1.713786005973816,1e-04,0.3679297864437103,1.5804558992385864
12,0.3116095960140228,1.7012224197387695,1e-04,0.3278071880340576,1.6810014247894287
13,0.32014352083206177,1.6906157732009888,1e-04,0.32627472281455994,1.6585490703582764
14,0.3314988315105438,1.6736047267913818,1e-04,0.38882696628570557,1.57264244556427
15,0.33996307849884033,1.6515448093414307,1e-04,0.396210640668869,1.5420767068862915
16,0.34598904848098755,1.6428874731063843,1e-04,0.4225411117076874,1.4710973501205444
17,0.36236023902893066,1.6184672117233276,1e-04,0.4146001636981964,1.4993945360183716
18,0.3705458343029022,1.5995784997940063,1e-04,0.4455280005931854,1.421547293663025
19,0.37977638840675354,1.5786579847335815,1e-04,0.45723041892051697,1.3950467109680176
20,0.3887282609939575,1.5668424367904663,1e-04,0.44176650047302246,1.4534931182861328
21,0.3988296389579773,1.5496996641159058,1e-04,0.47213709354400635,1.3542155027389526
22,0.40530842542648315,1.5398999452590942,1e-04,0.4577876925468445,1.4016083478927612
23,0.41074228286743164,1.5232263803482056,1e-04,0.44315963983535767,1.4335263967514038
24,0.4173603951931,1.5098778009414673,1e-04,0.4837001860141754,1.3205019235610962
25,0.42425718903541565,1.4908747673034668,1e-04,0.492337703704834,1.3141793012619019
26,0.43219897150993347,1.4777936935424805,1e-04,0.476734459400177,1.3545691967010498
27,0.43738898634910583,1.4659019708633423,1e-04,0.4951239824295044,1.3109115362167358
28,0.4397923946380615,1.4583947658538818,1e-04,0.5032042264938354,1.2837368249893188
29,0.4457138776779175,1.4447723627090454,1e-04,0.5009751915931702,1.2811709642410278
30,0.45090389251708984,1.4346332550048828,1e-04,0.5098913311958313,1.2690668106079102
31,0.4532724916934967,1.4218984842300415,1e-04,0.4873223602771759,1.3187788724899292
32,0.4573827087879181,1.4137756824493408,1e-04,0.5064084529876709,1.2587214708328247
33,0.4621199071407318,1.4039486646652222,1e-04,0.5246586799621582,1.2240766286849976
34,0.4669615924358368,1.3965288400650024,1e-04,0.5111451745033264,1.3072891235351562
35,0.47385838627815247,1.3821697235107422,1e-04,0.5275843143463135,1.2292060852050781
36,0.47441568970680237,1.380092740058899,1e-04,0.5275843143463135,1.23642098903656
37,0.47925737500190735,1.365482211112976,1e-04,0.5286988019943237,1.2353304624557495
38,0.4816259741783142,1.3614730834960938,1e-04,0.5353859066963196,1.208607792854309
39,0.4840642213821411,1.352548599243164,1e-04,0.531624436378479,1.1989731788635254
40,0.486154168844223,1.34699547290802,1e-04,0.522847592830658,1.239434838294983
41,0.4937475919723511,1.3429569005966187,1e-04,0.5384508371353149,1.196207880973816
42,0.4918666481971741,1.330162525177002,1e-04,0.5473669767379761,1.1718133687973022
43,0.4948970675468445,1.3253003358840942,1e-04,0.5502925515174866,1.1740875244140625
44,0.4966735243797302,1.3242532014846802,1e-04,0.5487601161003113,1.1776673793792725
45,0.5015848875045776,1.316426157951355,1e-04,0.5558651685714722,1.1533900499343872
46,0.5061479210853577,1.3112212419509888,1e-04,0.5606018304824829,1.1446417570114136
47,0.5088300108909607,1.295649528503418,1e-04,0.554611325263977,1.1509236097335815
48,0.5068445205688477,1.2946650981903076,1e-04,0.5560044646263123,1.1450670957565308
49,0.5082030296325684,1.2878276109695435,1e-04,0.5515463948249817,1.1588984727859497
50,0.5143334865570068,1.2859086990356445,1e-04,0.554193377494812,1.1575489044189453
51,0.5175032019615173,1.2724653482437134,1e-04,0.5713290572166443,1.1267890930175781
52,0.5186178684234619,1.273402214050293,1e-04,0.5596266388893127,1.1301276683807373
53,0.5202897787094116,1.2692601680755615,1e-04,0.538590133190155,1.2046767473220825
54,0.5235640406608582,1.2572044134140015,1e-04,0.5728614926338196,1.1029834747314453
55,0.5191054940223694,1.2585740089416504,1e-04,0.5638060569763184,1.1323152780532837
56,0.522797703742981,1.2558859586715698,1e-04,0.561855673789978,1.1340583562850952
57,0.5277787446975708,1.2549750804901123,1e-04,0.5736973881721497,1.1182976961135864
58,0.5300776958465576,1.2414724826812744,1e-04,0.5685427784919739,1.1205165386199951
59,0.5324462652206421,1.247066617012024,1e-04,0.5692393183708191,1.1367093324661255
60,0.5326901078224182,1.2360421419143677,1e-04,0.5824742317199707,1.0940824747085571
61,0.5371137857437134,1.2294378280639648,1e-04,0.5658957958221436,1.1158037185668945
62,0.5340485572814941,1.2395567893981934,1e-04,0.5638060569763184,1.1105352640151978
63,0.5388205647468567,1.2296142578125,1e-04,0.5717470049858093,1.0878902673721313
64,0.5382632613182068,1.226212739944458,1e-04,0.5869323015213013,1.0812437534332275
